time,rating,free_text,surgery,pcn,jev_sentiment,jev_sentiment_confidence,jev_primary_topic,jev_primary_topic_confidence,jev_secondary_topics,jev_secondary_topic_scores,jev_sentiment_strength,jev_sentiment_strength_confidence,jev_actionability,jev_actionability_confidence,jev_urgency,jev_urgency_confidence
5/23/26 14:33,Very good,I am very grateful and happy for all service,Earls-Court-Medical-Centre,Brompton-Health-PCN,Positive,1.0,Overall Service and Practice,0.99,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.02, ""Consultation Communication and Listening"": 0.04, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.02, ""Follow-up and Continuity of Care"": 0.02, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.44, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.05, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.15, ""Staff Professionalism and Knowledge"": 0.05, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.03, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",2.97,0.92,0.0,1.0,0.0,1.0
10/31/24 11:52,Very good,I used Patches at Midday Had a face to face appointment 2 hours later and was immediately reassured that there was no issue to worry about My appointment was also on time,Health-Partners-at-Violet-Melchett,Brompton-Health-PCN,Positive,0.92,Waiting Time at the Surgery,0.39,,"{""Appointment Availability and Lead Times"": 0.34, ""Clinical Assessment and Diagnosis"": 0.27, ""Consultation Communication and Listening"": 0.28, ""Digital Booking and Online Systems"": 0.03, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.04, ""Follow-up and Continuity of Care"": 0.27, ""Mental Health Support"": 0.09, ""Overall Service and Practice"": 0.4, ""Patient Information and Education"": 0.28, ""Physical Accessibility"": 0.04, ""Prescriptions and Medication Management"": 0.17, ""Reception Service"": 0.13, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.04, ""Respect, Dignity, Privacy and Inclusion"": 0.03, ""Staff Kindness and Empathy"": 0.15, ""Staff Professionalism and Knowledge"": 0.24, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.13, ""Treatment Effectiveness and Safety"": 0.45, ""Vaccinations and Immunisations"": 0.19, ""Waiting Time at the Surgery"": 0.62, ""Website and Practice Information"": 0.04}",1.9,0.8,0.33,0.67,0.48,0.52
11/26/25 22:54,Very good,Iam so happy with my doctor l been with her long time and always very helpful and as long time with my Gp registered,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,1.0,Follow-up and Continuity of Care,0.65,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.03, ""Consultation Communication and Listening"": 0.13, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.02, ""Follow-up and Continuity of Care"": 0.55, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.25, ""Patient Information and Education"": 0.05, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.03, ""Reception Service"": 0.02, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.37, ""Staff Professionalism and Knowledge"": 0.28, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.06, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.03}",2.88,0.87,0.0,1.0,0.0,1.0
1/23/25 11:12,Very good,Very good and caring all the Dr and stuff,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,1.0,Staff Kindness and Empathy,0.99,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.02, ""Consultation Communication and Listening"": 0.19, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.03, ""Feedback and Complaints Handling"": 0.03, ""Follow-up and Continuity of Care"": 0.04, ""Mental Health Support"": 0.03, ""Overall Service and Practice"": 0.39, ""Patient Information and Education"": 0.04, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.04, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.06, ""Staff Kindness and Empathy"": 0.76, ""Staff Professionalism and Knowledge"": 0.24, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.04, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",2.5,0.58,0.0,1.0,0.01,0.99
8/25/26 9:29,Very good,For the two years since I joined the practice your responses from reception staff to doctors to diagnosis to joint patient Dr treatment decision and its implementation have been extraornarily excellent 81 years since 45or 49,Kensington-Park-Medical-Centre,Brompton-Health-PCN,Positive,0.98,Overall Service and Practice,0.69,,"{""Appointment Availability and Lead Times"": 0.03, ""Clinical Assessment and Diagnosis"": 0.38, ""Consultation Communication and Listening"": 0.29, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.05, ""Follow-up and Continuity of Care"": 0.23, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.55, ""Patient Information and Education"": 0.15, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.04, ""Reception Service"": 0.35, ""Referral, Specialist and Hospital Coordination"": 0.04, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.04, ""Staff Kindness and Empathy"": 0.24, ""Staff Professionalism and Knowledge"": 0.57, ""Telephone Access"": 0.03, ""Tests, Investigations and Results"": 0.05, ""Treatment Effectiveness and Safety"": 0.13, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.03, ""Website and Practice Information"": 0.03}",3.44,0.63,0.01,0.99,0.4,0.6
6/23/24 18:38,Very good,Long time patient Reception staff and nurses helpful friendly Dr PERSON is amazing,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,1.0,Reception Service,0.55,Staff Kindness and Empathy,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.03, ""Consultation Communication and Listening"": 0.09, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.02, ""Follow-up and Continuity of Care"": 0.05, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.28, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.7, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.01, ""Respect, Dignity, Privacy and Inclusion"": 0.04, ""Staff Kindness and Empathy"": 0.77, ""Staff Professionalism and Knowledge"": 0.31, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.05, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",3.04,0.92,0.0,1.0,0.03,0.97
1/6/25 16:38,Good,Twice now weeks apart the doctor prescribed a new medicine and said they would alert my local pharmacy Zafash of the prescription On the first occasion either the GP or desk staff did not alert Zafash until the next day On the most recent occasion this week the doctor did not recall to alert Zafash I had to ring the surgery again near 6 30pm on Friday evening and only then got the duty doctor to tell Zafash about the new prescription,Health-Partners-at-Violet-Melchett,Brompton-Health-PCN,Negative,1.0,Prescriptions and Medication Management,1.0,,"{""Appointment Availability and Lead Times"": 0.04, ""Clinical Assessment and Diagnosis"": 0.03, ""Consultation Communication and Listening"": 0.29, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.05, ""Follow-up and Continuity of Care"": 0.5, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.27, ""Patient Information and Education"": 0.11, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.91, ""Reception Service"": 0.44, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.03, ""Respect, Dignity, Privacy and Inclusion"": 0.03, ""Staff Kindness and Empathy"": 0.04, ""Staff Professionalism and Knowledge"": 0.5, ""Telephone Access"": 0.3, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.03, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.07, ""Website and Practice Information"": 0.03}",2.32,0.69,2.99,0.99,2.57,0.57
8/24/24 12:38,Good,Your form does not make clear which treatment it refers to but my general experience of the GP s practice is Good,Stanhope-Mews-Surgery,Brompton-Health-PCN,Neutral or Mixed,0.6,Digital Booking and Online Systems,0.56,Overall Service and Practice,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.06, ""Consultation Communication and Listening"": 0.16, ""Digital Booking and Online Systems"": 0.03, ""Facilities, Cleanliness and Environment"": 0.03, ""Feedback and Complaints Handling"": 0.04, ""Follow-up and Continuity of Care"": 0.04, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.81, ""Patient Information and Education"": 0.57, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.03, ""Reception Service"": 0.03, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.04, ""Staff Professionalism and Knowledge"": 0.07, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.03, ""Treatment Effectiveness and Safety"": 0.04, ""Vaccinations and Immunisations"": 0.03, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.2}",1.57,0.64,1.74,0.12,0.4,0.6
3/18/26 17:50,Very good,I was treated with courtesy and professionally,The-Good-Practice,Brompton-Health-PCN,Positive,0.96,Staff Professionalism and Knowledge,0.84,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.02, ""Consultation Communication and Listening"": 0.24, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.04, ""Follow-up and Continuity of Care"": 0.02, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.48, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.13, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.22, ""Staff Kindness and Empathy"": 0.59, ""Staff Professionalism and Knowledge"": 0.64, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.03, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",1.65,0.7,0.0,1.0,0.01,0.99
5/14/26 15:33,Very good,The receptionist gentleman who answered the phone was first class Helpful and understanding He followed through and solved the problem I had,Health-Partners-at-Violet-Melchett,Brompton-Health-PCN,Positive,1.0,Reception Service,1.0,Staff Kindness and Empathy | Staff Professionalism and Knowledge,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.02, ""Consultation Communication and Listening"": 0.47, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.3, ""Follow-up and Continuity of Care"": 0.4, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.22, ""Patient Information and Education"": 0.04, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.82, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.06, ""Staff Kindness and Empathy"": 0.82, ""Staff Professionalism and Knowledge"": 0.72, ""Telephone Access"": 0.38, ""Tests, Investigations and Results"": 0.01, ""Treatment Effectiveness and Safety"": 0.03, ""Vaccinations and Immunisations"": 0.01, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",2.95,0.94,0.0,1.0,0.02,0.98
3/29/24 11:58,Very good,I ve used this surgery for many years and have always found the staff to be helpful and proactive,Earls-Court-Surgery,Brompton-Health-PCN,Positive,1.0,Staff Professionalism and Knowledge,0.72,Overall Service and Practice,"{""Appointment Availability and Lead Times"": 0.03, ""Clinical Assessment and Diagnosis"": 0.03, ""Consultation Communication and Listening"": 0.09, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.03, ""Feedback and Complaints Handling"": 0.04, ""Follow-up and Continuity of Care"": 0.12, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.62, ""Patient Information and Education"": 0.05, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.06, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.03, ""Staff Kindness and Empathy"": 0.49, ""Staff Professionalism and Knowledge"": 0.57, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.04, ""Vaccinations and Immunisations"": 0.01, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.03}",2.27,0.76,0.0,1.0,0.01,0.99
4/21/26 12:31,Very good,Quick dealt with question quickly and decisively,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,0.92,Staff Professionalism and Knowledge,0.23,,"{""Appointment Availability and Lead Times"": 0.06, ""Clinical Assessment and Diagnosis"": 0.02, ""Consultation Communication and Listening"": 0.23, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.28, ""Follow-up and Continuity of Care"": 0.03, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.28, ""Patient Information and Education"": 0.05, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.11, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.03, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.05, ""Staff Professionalism and Knowledge"": 0.3, ""Telephone Access"": 0.03, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.05, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.34, ""Website and Practice Information"": 0.03}",1.93,0.77,0.03,0.97,0.02,0.98
