date,rating,review,pcn,surgery
2026-01-01 19:05:12,Very good,"the Doctor is listening. and is trying to take mesure.
The staff is welcoming and helpful",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 19:06:13,Very good,With Doctor  Alice this was my first time and she was very polite and helpful thanks ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 19:41:12,Good,Seen on time.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 20:55:45,Good,dden ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 21:35:50,Very good,I was called quickly ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 21:44:19,Very good,I was sent a form to complete then my prescription was renewed,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 21:53:28,Very good,Efficient and helpful male receptionist.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 23:19:43,Very good,Query was resolved speedily,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 06:19:56,Very good,I received appointment very quickly and the doctor was great. Reception very helpful and polite ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 06:43:26,Very good,prompt and very helpful,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 07:15:59,Very good,"I feel very lucky to be a patient at this surgery for many years, Doctors , Nurses, receptionists , are always helpful, and patient.Thanks to you all and a Happy New Year to all.",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 07:37:46,Very good,Easy to arrange and Doctor wonderful ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 08:19:02,Very good,It was easy to make an appointment and the waiting time was less than 5 minutes,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 08:23:15,Very good,Pop peasant helpful phone call ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 13:22:33,Very good,Options to contact the surgery by phone or messaging. Front desk team are always helpful.  Patches messaging system is straightforward.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-02 13:36:11,Very poor,"I Haven't seen any doctor from your surgery for months. why you sending me this?!
I was dealing with the sharp pain in my abdomen & the color of my stool was black(seven months ego),
I was bleeding for weeks(started 65 days ego), 
I was dealing with strongest pain of my life,
I asked for an appointment several time(I got me appointment six weeks later),
Shame on you!",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-03 07:19:52,Very good,Very professional and efficient ,Brompton-Health-PCN,The-Good-Practice
2026-01-03 09:36:30,Very good,Always nice warm doctor and staff ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-03 13:07:19,Very good,"Your service is professional, respectfully, friendly, and welcoming and kindness 🫶",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-04 09:53:57,Very good,Helpful staff,Brompton-Health-PCN,Earls-Court-Medical-Centre
2026-01-04 10:43:09,Very good,"Starting with receptionist, Doctors and medical department, all very welcoming, caring and professional ",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-04 17:47:30,Good,Exemplary reception…..always,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-04 19:44:45,Good,1. Pleasantly surprised I managed to get a face-to-face appointment at short notice,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-05 09:01:47,Very good,They are very dedicated ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:03:31,Very good,Courteous and professional as always.,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:07:00,Very good,Efficacy ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:07:30,Very good,Pleasant helpful receptionist and good doctors ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:15:09,Very good,Staff very professional ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:19:12,Very good,Excellent service ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:24:30,Very good,I needed to be seen quickly and was given an appointment the same day.,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:26:04,Very good,"Very happy with the service, calm, quick and helpful staff",Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:30:37,Very good,"Expert, prompt and kind attention.",Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 09:30:57,Good,Dr and Staffs very nice respectful ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 10:17:35,Very good,The doctor rang out of hours on the same day that I called. I felt listened to and reassured.,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-05 10:46:13,Very good,Brilliant ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 11:31:46,Neither good nor poor,Personality of doctor is curt and dismissive. ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 11:45:05,Very good,Efficient and genuinely helpful.,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 12:49:14,Very good,All went smoothly,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 12:49:28,Very good,GP answer all my questions ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 13:44:25,Very good,the staff are very helpful and kind ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 13:44:41,Very poor,"My consultant sent a prescription to Dr. Fiona Butler on 2nd December 2025, but the surgery failed to forward it to the requested chemist, BOOTS despite multiple requests and a visit to the surgery. Eventually, the prescription was sent on 24th December. I went to Boots to collect it, but they said they had just received it and it would not be ready until 27th December. This was especially inconvenient as it was my birthday, and we were away until today, meaning I had to wait for more than three weeks, which is unacceptable.

I would like to acknowledge that Nadia Safdar was very understanding and apologised for the poor service on their side. However, the pharmacist Hafisa was utterly rude and told me to take it up with Boots rather than assisting me, which I found completely unprofessional.",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-05 13:59:22,Very good,Excellent GP,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-05 14:56:34,Neither good nor poor,"I still have not received my medical history from the surgery .
I requested and filled out a form a good few months ago.
",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-05 17:55:24,Very good,Every member of staff was helpful and knew exactly what they were doing. Very impressive. Thank you.,Brompton-Health-PCN,Kensington-Park-Medical-Centre
2026-01-06 10:29:54,Very good,Excellent service and advice,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-06 12:07:46,Very good,Always had good interaction with doctors  and staff,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-06 12:34:27,Very good,Excellent service ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-06 12:55:08,Very good,I know how overworked you all are and appreciate everything everyone at the practice does,Brompton-Health-PCN,Earls-Court-Surgery
2026-01-06 15:32:23,Very good,all experiences have been positive,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-06 18:20:13,Very good,"Drs are very professional, and  take time to listen to my issues,
I’m soo grateful for their support,
Thank you,   Ms J Anderson ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-06 18:46:55,Very good,Appointment on time very nice nurse,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-06 21:15:00,Very good,Doctor was very patient and managed to deal with the multiple issues and set up timely appointments with physio and ENT etc.,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-07 04:07:14,Very good,Excellent service!,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-07 05:16:52,Very good,"I highly recommend Kensington Park Medical Centre for their outstanding professionalism and care. From the reception staff through to the nurses, pharmacists, doctors, and management team, everyone is supportive, attentive, and dedicated.
I genuinely feel a personal connection rather than a simple patient–caregiver relationship. They never spare any effort in ensuring the right care is provided. My sincere thanks to the entire team.",Brompton-Health-PCN,Kensington-Park-Medical-Centre
2026-01-07 10:44:50,Very good,A proactive call from my GP's office to discuss the new meds i had been given by Chelsea and Westminster. The follow up due to receiving the latest specialists notes. Impressive! Sorry i didnt write down the doctors name (he sounded perhaps Indian?) but he was very nice.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-07 12:58:41,Very good,"My GP - Dr. Baker, is excellent and has been an enormous help to me. I appreciate the continuity of care particularly as I have received several diagnoses o we the past 5 years - these interact with each other and my ‘presentation’ is complicated. Dr B has been instrumental in supporting me, getting me referred when appropriate. I trust her advice and value her time- which I am careful to not take too much of! I am at the stage now where I can manage my conditions and am aware of being treated for most of them. 
Juliette and Rebecca on reception are wonderful.",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 13:22:25,Very good,Very understanding and responsive to your needs,Brompton-Health-PCN,The-Good-Practice
2026-01-07 13:26:39,Very good,Well looked after and all my questions were answered.,Brompton-Health-PCN,The-Good-Practice
2026-01-07 13:28:16,Very good,A very sympathetic & understanding doctor.,Brompton-Health-PCN,The-Good-Practice
2026-01-07 13:31:30,Very good,"The Doctor checked on how I was feeling 
I don’t think so No ",Brompton-Health-PCN,The-Good-Practice
2026-01-07 13:32:55,Very good,Fast and efficient,Brompton-Health-PCN,The-Good-Practice
2026-01-07 13:46:10,Very good,"The Doctor was kind and took her time, not rushing around.",Brompton-Health-PCN,The-Good-Practice
2026-01-07 16:02:49,Very good,Information succinct and helpful.,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:07:28,Very good,"Dr Pankhurst is an utterly wonderful doctor. And I always feel cared for and treated as an individual, not just a person with a  date of birth, by ALL the people there.  ",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:09:14,Very good,"On time
Friendly and professional 
Easy",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:09:28,Good,"Most of the times the stuff really helpful and kind , the system not hard to use",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:10:47,Very good,Callback was quick and my needs were addressed ,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:11:16,Very good,V nice interaction with all staff plus I was told no atrial fibrillation and my bp good,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:29:26,Very good,My appointment was efficient and on time and all staff were courteous and professional.  Thank you for your care.,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:43:16,Very good,"I was seen promptly.
The receptionist , nurse and pharmacist were all very professional and helpful",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 16:53:35,Very good,Prompt and thorough medical advice was received,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 17:06:42,Very good,Daby was very warm and polite,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 17:22:26,Very good,Bookings and appointments are efficient. GP's call back if they say they will. GP's take care and do not rush appointments.,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 17:37:21,Very good,Super-efficient ,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 18:13:19,Very good,Personal service. Good attitude of the reception staff always ready to go one step further,Brompton-Health-PCN,The-Good-Practice
2026-01-07 18:24:34,Very good,Most of staff are Friendly and very helpful specially Myra the Nurse and also the Receptionist and also the Doctor who are look after me face to face. and great full I’m registered to this GP.,Brompton-Health-PCN,The-Good-Practice
2026-01-07 18:56:20,Very good,"Because I had the most sensitive, supportive, informative and helpful conversation",Brompton-Health-PCN,The-Good-Practice
2026-01-07 19:32:53,Very good,"Reception staff friendly and helpful, arranged a telephone consultation with the GP on the same day. 
GP was excellent, professional,  knowledgeable, detailed consultation/investigation, patient & understanding. 
Great service definitely would recommend this surgery. ",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 20:09:45,Very good,Was able to book appointment on nhs app with help of receptionist while I was at surgery,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 21:16:02,Very good,Was contacted very quickly and my issues addressed ,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-07 21:38:55,Very good,Super quick response and appointment next day first thing in the morning. Doctor was super nice  and helpful,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 08:44:05,Very good,The appointment was on time and people were friendly,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 10:20:04,Very good,Very nice to talk to,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 10:26:31,Very good,Great professional gp service,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-08 10:38:46,Very good,"Appointment started at exactly the agreed time.
Lady explained everything that she was doing and went over the results in depth.
Everyone was super polite and friendly.",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 10:43:02,Good,"I felt the hospital and Dr were very efficient and explained why they were concerned, although I was there along time I left feeling reassured",Brompton-Health-PCN,The-Chelsea-Practice
2026-01-08 12:30:41,Very good,"Dr Baker was very efficient. I already got an appointment at Guy's hospital, which is amazing! After more than 2 years my dentist never managed to do that for route canal...",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 15:36:37,Very good,Receptionist helpful. Call scheduled. Dr Stott asked to examine me at appointment same day.,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 16:06:57,Poor,I wanted to speak with my surgery doctor,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 16:27:33,Very good,"Quick, efficient and helpful ",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 16:29:54,Good,Prompt appointment making. There was a delay Until the New Year but understandable ,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 17:20:37,Very good,Because dr stott very good ,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 18:59:12,Very good,Our GP Surgery is extremely friendly and helpful.  Nothing seems to be too much trouble.,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-08 21:00:43,Very good,"It was in every aspect what a patient ça expect, warm welcome and efficiency ",Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-08 22:07:44,Very good,After my blood test results the doctor kept in touch via messaging and then we had a good talk on the phone,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-09 11:51:31,Very good,Dr Lazari took the time to listen to All my problems!,Brompton-Health-PCN,The-Good-Practice
2026-01-09 12:42:55,Very good,Helpful and caring,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:43:29,Very good,Good doctor ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:43:53,Very good,"I felt listened to by the GP who told me the different options and how they would work, keeping me informed.",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:45:55,Very good,"I did not have to wait 
Lovely nurse did my injection 
The general organisation was very efficient ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:46:00,Very good,"Quick, efficient. GP understood my issues, and provided a clear response.",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:46:10,Neither good nor poor,we had a conversation but never reached the referral to go to ENT and had to see a specialist privately ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:46:32,Very good,"Each time I call the clinic , staff are always being friendly and very helpful ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:47:09,Very good,Immediate needs discussed and planned.,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:47:12,Very good,Nice friendly staff as always ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:48:02,Very good,"Patient of the surgery for the last 25 years, you always help me saved my life and remained extremely Lind, calm and decisive.
I would never leave my surgery!",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:50:53,Very good,"Extremely efficient. Little waiting time, thorough investigation and clear plan of action. Blood tests and follow up appointment scheduled on the spot. Blood tests took less than 5 minutes. ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:52:48,Very good,Easy to get appointment nice staff,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:52:56,Very good,I'm very satisfied thank you ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 12:54:07,Very good,Receptionists always cooperative and helpful,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:02:07,Very good,"ALL THE DOCTORS ARE SO KIND AND THEY ARE THE BEST, EVEN THE STAFF A'S WILL, I FEEL HAPPY WITH CLINIC, SINCE ( 25) YEARS ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:04:35,Very good,All the staff is warm and friendly. ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:08:54,Good,Helptand understanding,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:10:41,Very good,"Extremely responsive reception staff, Dr Orr was very caring and thoughtful ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:10:53,Very good,Very efficient and friendly service. The phone is always answered straight away and questions are answered fully,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-09 13:12:37,Very good,Always excellent service. Entire team are brilliant. Thank you for all that you do 🙏,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:14:17,Very good,All staff is very welcoming and friendly / efficient. I feel better when I walk through the door.,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:16:42,Very good,Timely pleasant appointments ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:17:51,Very good,Always deal with Looking after the patients and kind. ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:18:10,Good,Reception staff are always friendly and helpful ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:18:43,Very good,I always get very good efficient service ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:22:23,Very good,I was greeted and appointment on time.  It was the best blood test I have ever had & I’ve had a few.  Very professional nurse,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:26:44,Very good,Excellent service. Good communication skills. Time- keeping and professionalism!,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:33:32,Very good,The staff and doctors are always helpful and listen to patients’s concerns ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:34:58,Very good,"Both the receptionist and the doctor were very kind and helpful.
The doctor promptly called me back and explain everything clearly",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:37:07,Very good,"Everyone was very friendly and efficient. My appointment was on time. All in all, the practice is to be congratulated.",Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:37:38,Don't know,I've not had an appointment at the practice recently - I've only phoned for prescriptions....,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:49:50,Very good,Just incredible service everyone on top of their job and friendly - appointments easy to get the whole experience is the NHS at its best !! Great job,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:53:27,Very good,Always polite and caring.,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 13:54:49,Very good,"I saw the doctor quickly, and treatment is already arranged ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:56:53,Very good,Always excellent support at the surgery. And booking online makes it so much easier! ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 13:57:56,Very good,It’s because my GP was good not lije that GP Dr Bradford . So I prefer this GP   Thank you ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 14:01:37,Very good,Very efficient and positive experience.  ,Brompton-Health-PCN,Emperors-Gate-Health-Centre
2026-01-09 14:07:34,Very good,This was a FU appointment to discuss with the doctor the results of the blood tests that she had prescribed before Christmas. The doctor was very thorough in explaining the results and providing next steps. I was very satisfied.,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 14:11:16,Good,That’s how I feel ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 14:12:17,Very good,The practice pharmacist was very understanding of my pain relief needs & the nurse who did my blood test was very good too.,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 14:14:50,Very good,In my experience ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 14:15:30,Very good,Well organised professional team ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 14:20:35,Very good,My experience ,Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 14:48:12,Very good,Same reasons as in previous replies.,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 14:52:45,Very good,"All the staff are professional and helpful
My GP knows me, is kind to me, and I have confidence in her",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 14:55:03,Very good,This is really what I found and feel,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 15:03:06,Very good,My doctor is excellent I'm happy with my treatment as always they are all very caring at Chelsea practice ,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 15:21:01,Very good,"Dr Darwent telephoned me . I explained my recent medical issues. Following this she referred to my medical records and asked me few questions on the issues and length of the ailment and tablet s which I am taking  presently 
He prescribed me medication 
I have satisfied with her telephone consultation
",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 16:14:47,Very good,"Wonderful surgery 
Lovely admin reception staff
Fab docs most  competent don’t make you feel rushed kind etc ",Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 16:17:29,Very good,"I don't often need a GP, but on this occasion I was really ill. I phoned for emergency appointment and got a call back within minutes, the doctor was wonderful.Antibiotics were in Boots the same day and blood tests arranged. Since then the doctor called me check on my progress and give me results. I am very grateful, thank you.",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 16:19:27,Good,"My experience has been good.
On 30  December 2025 I had several blood tests at Chelsea and Westminster. I received a tel from you that my Potassium level was O.K. But what about he other tests ?",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 16:23:59,Very good,"As usual polite professional service from reception ,phone staff and doctor.",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 16:26:29,Very good,I saw my GP straight away. They have weight/ height/blood pressure measuring  machine in waiting area so it optional to use prior. This is very good idea and I feel that I take part in my care service in some sense. Well done to them!,Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 16:27:39,Very good,"Every details are well explained, I fully understand ",Brompton-Health-PCN,The-Chelsea-Practice
2026-01-09 17:15:16,Very good,Good ,Brompton-Health-PCN,The-Good-Practice
2026-01-09 17:20:50,Very good,"Managed to get an appointment within a reasonable timeframe. As always, I feel the doctor listened well to my description of the issue and took the best route of action. ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 17:22:36,Very good,Always reliable and friendly service at the good practice!,Brompton-Health-PCN,The-Good-Practice
2026-01-09 17:28:32,Very good,"Dr Bedford is always amazing and has helped me enormously with many difficult problems over many years.  I don’t  know where I’d be without her!  Bless her.  Thank you, I’m grateful.  I appreciate your whole surgery too.  The nurses and everyone are very nice.  ",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-09 17:33:14,Very good,Everyone is so helpful and the doctor was good and friendly ,Brompton-Health-PCN,The-Good-Practice
2026-01-09 17:35:16,Very good,I achieved what I came for,Brompton-Health-PCN,Stanhope-Mews-Surgery
